Latitude,Longitude
53.165987,6.889712
53.167132,6.897319
53.168054,6.903274
53.169397,6.912145
53.170608,6.920085
53.171662,6.926943
53.163012,6.898357
53.163862,6.905026
53.164961,6.914038
53.166092,6.922602
53.167041,6.929859
53.158953,6.899486
53.159526,6.906758
53.161073,6.925684
53.161711,6.933363
53.149803,6.891737
53.153758,6.900935
53.154359,6.90885
53.155156,6.918267
53.155997,6.928389
53.156666,6.936442
53.145877,6.892363
53.149069,6.902206
53.14977,6.910722
53.150556,6.920242
53.15146,6.930993
53.152117,6.939299
53.116457,6.912628
53.112326,6.91305
53.108204,6.913517
53.104083,6.91394
53.08251,6.888583
53.078485,6.886339
53.074459,6.884126
53.071059,6.882203
